state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Texas,Maverick,48323,58722,20232,31487,7003,38490
Texas,Medina,48325,51584,13317,29510,8757,38267
Texas,Menard,48327,2138,425,1014,699,1713
Texas,Midland,48329,176832,54552,103842,18438,122280
Texas,Milam,48331,24823,6472,13106,5245,18351
Texas,Mills,48333,4873,1092,2365,1416,3781
Texas,Mitchell,48335,8545,1984,5302,1259,6561
Texas,Montague,48337,19818,4867,10507,4444,14951
Texas,Montgomery,48339,607391,173183,352751,81457,434208
Texas,Moore,48341,20940,7190,11378,2372,13750
Texas,Morris,48343,12388,3114,6544,2730,9274
Texas,Motley,48345,1200,261,571,368,939
Texas,Nacogdoches,48347,65204,18954,36297,9953,46250
Texas,Navarro,48349,50113,14552,26910,8651,35561
Texas,Newton,48351,13595,2996,7721,2878,10599
Texas,Nolan,48353,14714,4265,7712,2737,10449
Texas,Nueces,48355,362294,98400,209825,54069,263894
Texas,Ochiltree,48357,9836,3328,5360,1148,6508
Texas,Oldham,48359,2112,534,1262,316,1578
Texas,Orange,48361,83396,22415,47252,13729,60981
Texas,Palo Pinto,48363,29189,7392,15904,5893,21797
Texas,Panola,48365,23194,6020,12585,4589,17174
Texas,Parker,48367,142878,38659,81888,22331,104219
Texas,Parmer,48369,9605,2979,5260,1366,6626
Texas,Pecos,48371,15823,4272,9410,2141,11551
Texas,Polk,48373,51353,11193,30427,9733,40160
Texas,Potter,48375,117415,34818,67394,15203,82597
Texas,Presidio,48377,6704,1956,3147,1601,4748
